device_id,device_name,aliases,implant_class,target_tissue,status,first_human_year,key_papers,trial_ids,notes
BTSD-AUD-COCH-0103,Advanced Bionics HiRes 90K,HiRes 90K,cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,2003 (launched),Advanced Bionics 'Legacy Implants' page (HiRes 90K launched 2003).,—,First AB implant with removable magnet for MRI (per AB page).
BTSD-AUD-COCH-0104,Advanced Bionics HiRes 90K Advantage,HiRes 90K Advantage,cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,2013 (introduced),Advanced Bionics 'Legacy Implants' page (HiRes 90K Advantage introduced 2013).,—,Mechanical improvements over HiRes 90K.
BTSD-AUD-COCH-0105,Advanced Bionics HiRes Ultra,HiRes Ultra (V2),cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy/active mix; implanted in humans,2016 (introduced),Advanced Bionics 'Legacy Implants' page (HiRes Ultra introduced 2016).,—,Thin-profile internal implant generation; note 2020 FDA recall/field action relates to Ultra/Ultra 3D families.
BTSD-AUD-COCH-0106,Advanced Bionics HiRes Ultra 3D,HiRes Ultra 3D,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2018 (introduced),Advanced Bionics 'About AB' timeline (Ultra 3D 2018); FDA safety notice on Ultra/Ultra 3D (2020).,—,MRI-oriented design; affected by 2020 voluntary field corrective action / reliability updates.
BTSD-AUD-COCH-0201,MED-EL COMBI 40+,COMBI 40+,cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued/legacy; implanted in humans,1996 (introduced); FDA MRI note 2003,MED-EL blog on MRI history (COMBI 40+ introduced 1996); Eshraghi 2012 historical review (CI history context).,FDA PMA: P000025 (family),Included for lineage completeness; common reference point for MED-EL MRI approvals.
BTSD-AUD-COCH-0202,MED-EL PULSAR CI100,PULSARCI100,cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued/legacy; implanted in humans,2005 (press release era),"AudiologyOnline release on PULSARCI100 (Jun 1, 2005); FDA PMA P000025 supplement family (model list pdf includes Mi1200/Mi1000 etc).",FDA PMA: P000025 (supplements vary),"Treat as a distinct internal platform generation (post-COMBI, pre-SONATA)."
BTSD-AUD-COCH-0203,MED-EL SONATA,SONATA,cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,2006 (launch era),Hainarosie 2014 review (next-gen launched 2006 incl. MED-EL); FDA PMA P000025 supplement page includes SONATA in manufacturing supplement list.,FDA PMA: P000025/S102 (mentions SONATA in scope),Often referenced as titanium implant generation prior to CONCERT/CONCERTO.
BTSD-AUD-COCH-0204,MED-EL CONCERTO (Mi1000),"CONCERTO, Mi1000",cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,2010 (introduced),"MED-EL timeline (MAESTRO system: CONCERTO implant, 2010); FDA PMA document lists Mi1000 MED‑EL CONCERT/CONCERTO references.","FDA PMA: P000025 (e.g., S102; model list pdf)",Internal implant associated with MAESTRO system generation.
BTSD-AUD-COCH-0205,MED-EL SYNCHRONY (Mi1200),"SYNCHRONY, Mi1200",cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2015 (FDA approval announced; US availability),"MED-EL SYNCHRONY page (system overview); announcement of FDA approval (Jan 23, 2015).",FDA PMA: P000025 (family),Notable for MRI safety claims (incl. 3T under conditions).
BTSD-AUD-COCH-0206,MED-EL SYNCHRONY 2 (Mi1250),"SYNCHRONY 2, Mi1250",cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,2019 (FDA PMA supplement decision),FDA PMA supplement record (P000025/S110) for Mi1250 SYNCHRONY 2 (PIN).,FDA PMA: P000025/S110,Design change to central lead exit per FDA supplement; treat as a separate generation per your rules.
BTSD-AUD-COCH-0301,Oticon Medical Neuro System (Neurelec platform),Neuro CI system,cochlear (internal receiver-stimulator),cochlea / auditory nerve,discontinued/legacy; implanted in humans,2015 (market availability),Oticon Medical reliability report (states Neuro system available since Nov 2015).,—,Predecessor/umbrella system that later includes Neuro Zti variants.
BTSD-AUD-COCH-0302,Oticon Medical Neuro Zti,Neuro Zti,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active/legacy; implanted in humans,2021 (FDA PMA + US introduction),"Oticon Medical corporate news (FDA PMA for Neuro system, Jun 24, 2021); FDA Neuro Zti IFU PDF (P200021D).",FDA PMA: P200021,US introduction 2021; internally the implant range is branded Neuro Zti.
BTSD-AUD-COCH-0303,Neurelec Digisonic SP (3rd generation),Digisonic SP,cochlear (internal receiver-stimulator),cochlea / auditory nerve,legacy; implanted in humans,~2004 (generation era),Digisonic SP user brochure (describes as 3rd generation); Eshraghi 2012 historical review (Digisonic lineage).,—,Often referenced in European literature; treat as a distinct implant generation.
BTSD-AUD-COCH-0401,Nurotron Venus Cochlear Implant System,Venus CI,cochlear (internal receiver-stimulator),cochlea / auditory nerve,active; implanted in humans,~2011 (clinical approval in China),Rebscher et al. 2018 'Development and Clinical Introduction of the Nurotron Venus' (PMC6354516); Liu et al. 2019 notes official approval in Aug 2011.,—,Developed for affordability; widely used in China/other regions.
BTSD-AUD-CENT-1001,Cochlear Nucleus ABI24M,ABI24M,auditory brainstem implant (ABI),cochlear nucleus / brainstem,legacy; implanted in humans,1998 (global release era),Cochlear 'solutions – a history of innovation' (ABI 98); Cochlear MRI implant list (ABI24M).,—,Cochlear ABI generation listed alongside CI24M family.
BTSD-AUD-CENT-1002,Cochlear Nucleus ABI541 (Profile/CI500 family),ABI541,auditory brainstem implant (ABI),cochlear nucleus / brainstem,active/legacy; implanted in humans,~2009–2014 era (CI500/Profile family),Cochlear MRI implant list (ABI541 listed under CI500/Profile implants).,—,ABI variant aligned with CI500/Profile hardware family (MRI conditions differ).
BTSD-AUD-CENT-1101,MED-EL CONCERTO ABI (Mi1000),CONCERTO ABI,auditory brainstem implant (ABI),cochlear nucleus / brainstem,active/legacy; implanted in humans,2010 (introduced),"MED-EL timeline (CONCERTO ABI introduced, 2010).",—,Central auditory prosthesis for absent/nonfunctional auditory nerve.
BTSD-AUD-CENT-1102,MED-EL SYNCHRONY ABI (Mi1200),SYNCHRONY ABI,auditory brainstem implant (ABI),cochlear nucleus / brainstem,active; implanted in humans,<=2019 (in-use in clinical literature),van den Berge et al. 2019 (study device Mi1200 SYNCHRONY ABI); ABI overview review (Deep 2019); Wong et al. 2019 Frontiers review.,—,Listed as commercially available in ABI reviews; used in adult and pediatric settings depending on indication/region.
BTSD-AUD-CENT-1201,Oticon Medical / Neurelec Digisonic SP ABI,Digisonic SP ABI,auditory brainstem implant (ABI),cochlear nucleus / brainstem,active/legacy; implanted in humans,2006 (product line era),Demant hearing implants deck (Digisonic SP ABI listed 2006); Oticon Medical Digisonic SP ABI product page; ABI overview review (Deep 2019).,—,Central auditory prosthesis platform in Neurelec/Oticon Medical ecosystem.
BTSD-AUD-CENT-1301,Auditory Midbrain Implant (AMI) platform,AMI,auditory midbrain implant (AMI),inferior colliculus (midbrain),research/clinical trials; implanted in humans,2006–2008 (first clinical trial era),Lim & Lenarz 2009 AMI review (PMC4111439); Lim 2015 R&D review (PMC4417550); ClinicalTrials.gov NCT02984202 (two-shank AMI trial).,NCT02984202,Central auditory prosthesis alternative to ABI; multiple array generations (single‑shank then two‑shank).
